participant_id,cinsiyet,yas,egitim,meslek,alisveris_sikligi,cihaz,ahp_01,ahp_02,ahp_03,ahp_04,ahp_05,ahp_06,ahp_07,ahp_08,ahp_09,ahp_10,topsis_K1_A1,topsis_K1_A2,topsis_K1_A3,topsis_K1_A4,topsis_K1_A5,topsis_K1_A6,topsis_K2_A1,topsis_K2_A2,topsis_K2_A3,topsis_K2_A4,topsis_K2_A5,topsis_K2_A6,topsis_K3_A1,topsis_K3_A2,topsis_K3_A3,topsis_K3_A4,topsis_K3_A5,topsis_K3_A6,topsis_K4_A1,topsis_K4_A2,topsis_K4_A3,topsis_K4_A4,topsis_K4_A5,topsis_K4_A6,topsis_K5_A1,topsis_K5_A2,topsis_K5_A3,topsis_K5_A4,topsis_K5_A5,topsis_K5_A6
11,Erkek,18-24,Lisans,Öğrenci,Ayda birkaç kez,Mobil uygulama,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,3.0,1.0,0.3333333333333333,1.0,0.3333333333333333,80,50,70,60,70,100,Kullanmıyorum,50,70,40,70,80,70,60,70,50,60,80,90,70,Kullanmıyorum,50,70,80,90,60,80,Kullanmıyorum,60,60
12,Kadın,35-44,Lisans,Özel Sektör,Haftada birkaç kez,Mobil uygulama,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,90,60,70,Kullanmıyorum,60,90,80,70,70,40,90,80,50,60,70,60,70,80,80,70,70,Kullanmıyorum,70,90,70,60,70,40,60,80
13,Kadın,35-44,Ön Lisans,Öğrenci,Ayda birkaç kez,Mobil uygulama,1.0,1.0,1.0,0.3333333333333333,0.2,3.0,1.0,1.0,0.3333333333333333,5.0,70,60,90,50,70,70,80,50,70,50,70,80,80,60,90,60,70,90,80,70,70,50,80,90,80,60,70,70,60,70
14,Kadın,18-24,Ön Lisans,Özel Sektör,Ayda birkaç kez,Mobil uygulama,3.0,1.0,3.0,1.0,0.3333333333333333,1.0,0.3333333333333333,5.0,1.0,0.2,70,60,90,60,70,80,70,60,90,50,70,90,80,Kullanmıyorum,70,60,70,90,80,60,80,60,70,80,70,60,80,50,70,80
15,Erkek,25-34,Ön Lisans,Emekli,Daha az,Masaüstü tarayıcı,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,90,60,90,Kullanmıyorum,70,70,80,50,80,50,80,Kullanmıyorum,70,60,70,60,80,70,80,70,80,60,80,70,90,70,80,50,60,Kullanmıyorum
16,Erkek,25-34,Yüksek Lisans,Özel Sektör,Ayda birkaç kez,Tablet,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,0.3333333333333333,70,70,70,70,Kullanmıyorum,90,80,60,90,40,70,100,90,50,90,50,60,80,80,60,80,50,80,80,90,70,70,60,60,70
17,Kadın,25-34,Lisans,Öğrenci,Haftada bir,Mobil tarayıcı,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,90,60,70,70,90,80,70,60,70,60,70,80,60,50,70,60,70,90,80,60,80,40,90,80,90,80,70,50,60,70
18,Kadın,55+,Lise,Öğrenci,Ayda bir,Mobil tarayıcı,1.0,1.0,1.0,0.3333333333333333,3.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,Kullanmıyorum,60,80,60,Kullanmıyorum,70,90,60,90,50,Kullanmıyorum,80,80,60,Kullanmıyorum,50,90,80,80,60,80,Kullanmıyorum,70,80,80,Kullanmıyorum,Kullanmıyorum,50,60,60
19,Belirtmek istemiyorum,18-24,Lisans,Özel Sektör,Ayda birkaç kez,Mobil uygulama,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,90,70,100,50,70,80,90,70,70,40,60,80,80,40,80,50,80,90,80,60,80,50,80,80,80,60,80,40,60,70
20,Kadın,25-34,Lisans,Özel Sektör,Ayda birkaç kez,Mobil uygulama,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,3.0,1.0,0.3333333333333333,60,70,80,50,70,90,90,70,90,50,60,80,80,Kullanmıyorum,90,50,70,80,90,50,70,50,80,80,80,60,80,60,60,70
21,Kadın,25-34,Lisans,Öğrenci,Haftada birkaç kez,Tablet,5.0,1.0,0.3333333333333333,5.0,5.0,3.0,5.0,0.3333333333333333,0.2,3.0,90,60,80,50,80,80,90,60,80,40,80,80,80,Kullanmıyorum,90,50,70,70,60,60,70,50,80,80,70,70,80,60,50,70
22,Kadın,25-34,Lisans,Özel Sektör,Haftada birkaç kez,Mobil uygulama,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,60,80,50,70,100,80,60,70,50,90,90,Kullanmıyorum,50,90,60,80,70,70,70,80,50,70,80,100,60,60,50,60,90
23,Kadın,25-34,Lisans,Öğrenci,Haftada bir,Mobil uygulama,0.2,0.3333333333333333,0.3333333333333333,1.0,3.0,0.3333333333333333,3.0,5.0,3.0,0.3333333333333333,80,70,70,70,Kullanmıyorum,80,80,60,70,40,80,80,90,60,90,50,70,80,80,70,80,40,80,80,80,70,70,70,50,80
24,Kadın,25-34,Lisans,Öğrenci,Ayda birkaç kez,Mobil uygulama,0.2,1.0,5.0,1.0,1.0,3.0,1.0,3.0,0.3333333333333333,0.3333333333333333,80,70,90,60,80,70,100,70,90,50,60,80,60,Kullanmıyorum,70,Kullanmıyorum,70,70,80,70,80,50,70,80,90,70,70,50,70,70
25,Erkek,25-34,Lisans,Özel Sektör,Daha az,Mobil tarayıcı,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,0.3333333333333333,0.3333333333333333,3.0,0.3333333333333333,5.0,70,60,70,40,60,90,100,60,80,50,90,90,70,60,80,70,80,90,80,50,70,50,70,70,80,50,70,40,70,60
26,Erkek,25-34,Lise,Öğrenci,Haftada birkaç kez,Masaüstü tarayıcı,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,3.0,3.0,0.3333333333333333,60,50,80,50,70,90,100,50,80,50,70,80,60,50,80,50,70,80,80,60,60,60,70,80,70,Kullanmıyorum,70,60,60,80
27,Erkek,25-34,Lisans,Serbest Meslek,Ayda birkaç kez,Mobil tarayıcı,1.0,0.3333333333333333,3.0,0.3333333333333333,0.3333333333333333,3.0,0.3333333333333333,5.0,1.0,0.2,80,Kullanmıyorum,80,60,80,70,80,70,60,40,70,80,70,50,80,50,60,80,80,60,80,50,Kullanmıyorum,80,100,70,80,70,50,80
28,Erkek,25-34,Ön Lisans,Diğer,Haftada bir,Mobil uygulama,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,80,60,70,70,60,80,100,60,90,40,70,Kullanmıyorum,80,60,80,50,80,80,70,60,70,60,80,70,90,70,70,60,70,90
29,Kadın,25-34,Ön Lisans,Öğrenci,Haftada birkaç kez,Mobil tarayıcı,1.0,0.3333333333333333,3.0,0.3333333333333333,0.3333333333333333,1.0,0.2,5.0,1.0,0.2,90,60,Kullanmıyorum,50,70,100,70,60,70,50,80,90,80,Kullanmıyorum,80,Kullanmıyorum,70,70,80,50,80,40,80,80,80,80,80,50,50,70
30,Kadın,55+,Lisans,Emekli,Ayda bir,Masaüstü tarayıcı,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,0.3333333333333333,0.2,70,50,70,50,90,70,90,50,100,40,60,Kullanmıyorum,Kullanmıyorum,80,80,60,70,70,70,Kullanmıyorum,80,60,90,90,70,70,70,50,60,70
31,Erkek,18-24,Lisans,Serbest Meslek,Haftada bir,Tablet,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,80,80,80,50,70,80,80,60,80,50,70,80,90,60,90,40,60,80,80,60,90,50,70,80,80,60,80,60,60,80
32,Kadın,25-34,Lisans,Öğrenci,Ayda birkaç kez,Mobil tarayıcı,1.0,1.0,0.3333333333333333,3.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,70,50,80,50,70,90,80,60,80,50,70,70,70,70,Kullanmıyorum,60,60,80,90,60,80,40,70,80,70,60,70,60,40,80
33,Erkek,25-34,Yüksek Lisans,Serbest Meslek,Haftada bir,Mobil uygulama,3.0,0.3333333333333333,1.0,3.0,0.2,0.2,0.2,3.0,1.0,0.3333333333333333,90,50,80,60,70,90,80,60,90,40,80,100,80,40,60,60,70,70,80,70,70,50,80,80,80,60,80,50,60,80
34,Kadın,55+,Lisans,Öğrenci,Ayda birkaç kez,Mobil uygulama,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,80,50,90,40,80,90,80,30,80,50,80,Kullanmıyorum,80,50,80,50,60,70,80,70,60,50,60,80,80,70,80,60,60,70
35,Erkek,25-34,Lisans,Emekli,Ayda birkaç kez,Masaüstü tarayıcı,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,3.0,1.0,0.3333333333333333,60,70,80,50,70,80,80,50,80,60,70,90,80,60,80,60,60,80,80,60,80,40,80,80,80,70,60,50,60,70
